State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Alabama,4849377,20727,276,1436,2005,4701,13745
Alaska,736732,4684,41,555,771,629,3243
Arizona,6731484,26916,319,2464,3378,6249,16970
Arkansas,2966369,14243,165,1182,1763,2050,10265
California,38802500,153709,1699,8398,11527,48680,91803
Colorado,5355866,16554,151,2121,3039,3039,10325
Connecticut,3596677,8522,86,571,782,3159,4495
Delaware,935614,4576,54,249,386,1269,2867
District of Columbia,658893,8199,105,352,472,3497,4125
Florida,19893297,107521,1149,6051,8563,24914,72895
Georgia,10097343,38097,580,2159,3048,12417,22052
Hawaii,1419561,3680,26,314,445,1107,2102
Idaho,1634464,3468,32,468,609,204,2623
Illinois,12880580,47663,685,3081,4159,15299,27520
Indiana,6596855,24099,330,1615,2186,6897,14686
Iowa,3107126,8497,60,828,1128,1045,6264
Kansas,2904021,10123,91,1075,1411,1362,7259
Kentucky,4413457,9340,160,883,1440,3336,4404
Louisiana,4649676,23934,477,992,1375,5695,16387
Maine,1330089,1700,21,360,485,304,890
Maryland,5976407,26661,365,1144,1619,9544,15133
Massachusetts,6745408,26399,132,1629,2180,6036,18051
Michigan,9909877,42348,535,4049,6273,8021,27519
Minnesota,5457173,12505,88,1452,2001,3687,6729
Mississippi,2994079,8338,258,764,1058,2430,4592
Missouri,6063589,26856,403,1706,2379,5592,18482
Montana,1023579,3313,37,430,541,203,2532
Nebraska,1881503,5275,54,620,862,1043,3316
Nevada,2839099,18045,170,995,1357,5954,10564
New Hampshire,1326813,2602,12,458,594,537,1459
New Jersey,8938175,23346,349,953,1274,10498,11225
New Mexico,2085572,12459,101,1071,1475,2086,8797
New York,19746227,75398,617,3918,5433,24045,45303
North Carolina,9943964,32767,510,1740,2420,8416,21421
North Dakota,739482,1960,22,276,358,173,1407
Ohio,11594163,33030,464,4097,5042,12753,14771
Oklahoma,3878051,15744,175,1277,1777,3048,10744
Oregon,3970239,9224,81,1052,1458,2093,5592
Pennsylvania,12787209,40164,614,2787,3827,13534,22189
Rhode Island,1055173,2313,25,253,361,529,1398
South Carolina,4832482,24052,311,1480,2068,3997,17676
South Dakota,853175,2786,20,413,470,200,2096
Tennessee,6549352,39848,371,1861,2531,7265,29681
Texas,26956958,109414,1184,8236,11393,31181,65656
Utah,2942902,6346,67,945,1454,1312,3513
Vermont,626562,622,10,99,110,70,432
Virginia,8326289,16340,338,1432,2310,4292,9400
Washington,7061530,20136,174,2171,2695,5640,11627
West Virginia,1850326,5588,74,285,505,651,4358
Wisconsin,5757564,16714,165,1168,1674,5066,9809
Wyoming,584153,1142,16,126,174,53,899
