salary,education,job_grade,years_bank,years_prior,age,gender,PC_job
32000,3,1,3,1,26,Male,No
39100,1,1,14,1,38,Female,No
33200,1,1,12,0,35,Female,No
30600,2,1,8,7,40,Female,No
29000,3,1,3,0,28,Male,No
30500,3,1,3,0,24,Female,No
30000,3,1,4,0,27,Female,No
27000,3,1,8,2,33,Male,No
34000,1,1,4,0,62,Female,No
29500,3,1,9,0,31,Female,No
26800,3,1,9,2,34,Female,No
31300,2,1,8,8,37,Female,No
31200,2,1,9,0,37,Female,No
34700,2,1,10,6,58,Female,No
30000,3,1,4,0,33,Female,No
31000,3,1,3,0,27,Female,No
27000,3,1,6,0,30,Female,No
29600,2,1,8,9,37,Female,No
32600,3,1,5,6,44,Female,No
29600,2,1,4,3,29,Female,No
29500,3,1,4,2,36,Female,No
31000,2,1,3,3,28,Male,No
28500,1,1,5,0,45,Female,No
26700,2,1,3,4,33,Male,No
30750,3,1,3,1,24,Male,No
29500,3,1,3,1,27,Male,No
42200,2,1,16,6,60,Female,No
37600,1,1,13,0,48,Female,No
34000,1,1,12,6,40,Female,No
33000,2,1,4,7,33,Female,No
28760,1,1,7,4,35,Female,No
35400,1,1,11,0,44,Female,No
31000,3,1,3,8,43,Male,No
38800,2,1,18,2,46,Female,No
34300,2,1,14,0,42,Female,No
35000,1,1,19,0,47,Female,No
34600,3,1,3,2,25,Female,Yes
28500,2,1,2,4,30,Female,No
29500,1,1,11,0,40,Female,No
30500,3,1,3,2,26,Male,No
34200,3,1,5,1,32,Female,No
43600,1,1,15,0,51,Female,No
33500,5,1,7,0,35,Female,Yes
33000,3,1,12,1,37,Female,No
45300,1,1,18,0,44,Female,No
38800,1,1,17,3,53,Male,No
29900,1,1,10,0,40,Female,No
31200,3,1,5,10,51,Male,No
34000,1,1,15,0,42,Female,No
30450,2,1,2,0,53,Female,No
35500,1,1,3,3,58,Male,No
34000,1,1,4,10,44,Female,Yes
29100,2,1,7,0,31,Female,No
29650,1,1,8,0,64,Female,No
29200,3,1,15,1,47,Female,No
29800,3,1,9,0,37,Female,Yes
33500,2,1,16,0,46,Female,No
34000,1,1,8,0,55,Female,No
29600,1,1,9,0,39,Female,No
34000,3,1,18,0,51,Female,No
37250,2,2,3,8,37,Female,No
33000,2,2,6,3,30,Male,No
28600,3,2,4,0,26,Female,No
36000,5,2,5,1,41,Female,Yes
37300,3,2,4,4,34,Female,Yes
29900,2,2,7,4,57,Male,No
31500,1,2,11,8,53,Female,No
41400,3,2,5,4,32,Female,Yes
32740,1,2,17,5,44,Female,No
33500,3,2,3,1,25,Male,No
32000,1,2,5,9,31,Female,No
30800,1,2,9,0,50,Female,No
42000,5,2,3,3,47,Female,Yes
34000,3,2,4,0,35,Male,No
32500,2,2,16,0,43,Female,No
31700,2,2,9,10,46,Female,No
36500,5,2,3,0,35,Male,No
33000,3,2,4,0,22,Male,No
31200,2,2,8,0,58,Female,No
34000,5,2,8,0,40,Female,No
33000,3,2,6,0,30,Female,No
33900,5,2,4,4,29,Female,No
39000,1,2,3,9,31,Female,Yes
34920,2,2,12,18,52,Male,No
39000,5,2,3,5,33,Male,No
34000,1,2,8,0,49,Female,No
31900,2,2,6,7,34,Female,No
37000,5,2,3,1,26,Male,No
34000,5,2,4,0,28,Male,No
36400,5,2,3,2,35,Female,No
38200,1,2,15,1,47,Female,Yes
35300,1,2,15,0,51,Female,No
34500,3,2,3,2,26,Male,No
30500,3,2,12,0,33,Female,No
30000,4,2,2,2,27,Male,No
37300,5,2,8,0,34,Female,Yes
40200,4,2,5,0,29,Female,No
35500,3,2,5,0,27,Male,No
35000,1,2,11,0,43,Female,No
38000,3,2,4,3,36,Female,No
35300,1,2,9,0,38,Female,No
34100,2,2,14,0,60,Female,No
43200,3,3,4,5,43,Female,Yes
36100,2,3,15,5,48,Female,No
34600,5,3,7,3,32,Female,No
36000,3,3,5,0,31,Male,No
36200,5,3,7,2,29,Female,No
37500,3,3,7,0,35,Female,No
41000,3,3,4,12,37,Female,No
35600,2,3,10,0,43,Female,No
39800,3,3,5,5,33,Female,No
41300,4,3,11,4,58,Female,Yes
42500,3,3,9,7,44,Female,No
45800,3,3,4,8,37,Female,Yes
34900,5,3,5,6,48,Female,No
41500,5,3,4,0,26,Male,No
38000,3,3,5,0,25,Female,No
35000,4,3,6,0,38,Female,No
40000,3,3,6,0,41,Female,No
36000,3,3,5,0,29,Male,No
33700,2,3,9,0,59,Female,No
36300,2,3,5,4,29,Male,No
38000,3,3,3,2,27,Female,Yes
39500,5,3,4,0,30,Female,No
36300,2,3,7,5,34,Female,No
32500,3,3,8,2,35,Female,No
37000,2,3,12,6,50,Female,No
32600,5,3,3,1,33,Female,No
36000,3,3,4,0,26,Female,No
35000,5,3,3,0,36,Female,No
43600,5,3,3,5,33,Female,Yes
33800,3,3,8,0,47,Female,No
35300,1,3,21,0,51,Female,No
42400,1,3,16,6,42,Female,No
39500,5,3,5,0,31,Male,No
43500,2,3,25,10,62,Female,No
