component,date,value,title,vintage_date,units,freq,seas_adj,updated
CUSR0000SEFX,1990-01-01,141.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-02-01,141.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-03-01,142.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-04-01,142.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-05-01,143.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-06-01,144,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-07-01,144.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-08-01,145.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-09-01,146.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-10-01,147,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-11-01,147.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1990-12-01,147.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-01-01,152.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-02-01,155.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-03-01,155.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-04-01,155.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-05-01,155.9,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-06-01,156.6,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-07-01,157.4,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-08-01,158.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-09-01,159.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-10-01,159.2,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-11-01,159,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1991-12-01,159.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-01-01,159.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-02-01,160.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-03-01,160.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-04-01,161.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-05-01,162.1,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-06-01,162.3,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-07-01,162.7,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-08-01,163,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-09-01,163.5,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SEFX,1992-10-01,164,Consumer Price Index for All Urban Consumers: Alcoholic Beverages Away from Home in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
