day,bikes_hired,yday,temp,dewp,slp,stp,visib,wdsp,mxspd,gust,max_temp,min_temp,prcp,prcp_attributes,i_fog,i_rain_drizzle,i_snow_ice,i_hail,i_thunder,ea,es,rh
2010-07-30T00:00:00Z,6897,211,17.6,10.3,1014.5,11.6,12.2,3.7,6.7,NA,23.1,12,0,G,1,0,0,0,0,1.3,2,62.3
2010-07-31T00:00:00Z,5564,212,19.7,13.6,NA,NA,13,4.9,8.2,NA,25.1,15,2,F,1,0,0,0,0,1.6,2.3,67.9
2010-08-01T00:00:00Z,4303,213,18.8,10.9,1013,10,14.2,3.1,5.1,NA,23.9,14.6,0,F,1,0,0,0,0,1.3,2.2,60.1
2010-08-02T00:00:00Z,6642,214,18.8,10.1,NA,NA,11.3,2.4,4.1,NA,23.4,15,0,F,1,0,0,0,0,1.2,2.2,57
2010-08-03T00:00:00Z,7966,215,17.7,11.1,NA,NA,11.4,3.7,6.7,NA,23.6,12,0,G,0,0,0,0,0,1.3,2,65.3
2010-08-04T00:00:00Z,7893,216,16.4,11.9,NA,NA,12.1,4.2,7.2,11.3,20.1,12,3,F,1,0,0,0,0,1.4,1.9,74.7
2010-08-05T00:00:00Z,8724,217,16.6,7.8,NA,NA,10.9,4.2,7.7,NA,22.6,11.9,0,F,0,0,0,0,0,1.1,1.9,56.1
2010-08-06T00:00:00Z,9797,218,17,12.4,1014.5,11.5,13.2,4.7,8.7,12.3,21.4,11,0.3,G,1,0,0,0,0,1.4,1.9,74.3
2010-08-07T00:00:00Z,6631,219,18.3,14.2,NA,NA,12.1,4,5.7,NA,21.8,15.9,0,G,1,0,0,0,0,1.6,2.1,77
2010-08-08T00:00:00Z,7864,220,19.1,10.9,1019.5,16.5,15.9,2.6,4.6,NA,24.5,13.5,1,G,0,0,0,0,0,1.3,2.2,59
2010-08-09T00:00:00Z,6191,221,19.1,11.4,NA,NA,12.1,4.6,7.7,10.8,25.1,14,0,G,0,0,0,0,0,1.3,2.2,61
2010-08-10T00:00:00Z,4802,222,16.8,14.6,NA,NA,11.7,4.3,6.7,NA,19.3,14,6.6,F,1,0,0,0,0,1.7,1.9,86.9
2010-08-11T00:00:00Z,14013,223,16.7,10.5,NA,NA,11.1,3,5.7,NA,23,11,2,F,0,0,0,0,0,1.3,1.9,66.8
2010-08-12T00:00:00Z,13080,224,15.2,10.8,NA,NA,11.9,3.3,5.7,10.3,20.4,12,0,G,1,0,0,0,0,1.3,1.7,75
2010-08-13T00:00:00Z,12151,225,14.1,11.4,NA,NA,11.6,3.5,6.2,NA,18,11,2.3,G,1,0,0,0,0,1.3,1.6,83.8
2010-08-14T00:00:00Z,9195,226,14.6,12.3,NA,NA,11.7,2.2,3.1,NA,18.4,13,4.8,G,1,0,0,0,0,1.4,1.7,86.1
2010-08-15T00:00:00Z,10928,227,17.7,12,1020.6,17.6,9.2,3.5,5.7,11.3,22.7,13,12.7,G,0,0,0,0,0,1.4,2,69.3
2010-08-16T00:00:00Z,15384,228,17.9,9.9,NA,NA,11.9,4,5.7,10.3,25.4,12.8,0,G,0,0,0,0,0,1.2,2,59.5
2010-08-17T00:00:00Z,15396,229,17.4,13.9,NA,NA,12.6,4.7,6.2,11.3,21,14.7,0.5,F,1,0,0,0,0,1.6,2,79.9
2010-08-18T00:00:00Z,16062,230,16.6,9.9,1008.3,5.3,13.4,4.3,7.7,11.3,21.6,12,0,G,1,0,0,0,0,1.2,1.9,64.6
2010-08-19T00:00:00Z,17170,231,16.9,11.4,1011.2,8.2,14.2,4.6,7.2,10.8,21.9,12,0.5,G,1,0,0,0,0,1.3,1.9,70
2010-08-20T00:00:00Z,16462,232,19.2,15.8,NA,NA,13.5,5.5,8.2,12.9,21.5,16,0,G,1,0,0,0,0,1.8,2.2,80.7
2010-08-21T00:00:00Z,11719,233,20.5,17.3,NA,NA,11.6,6.1,8.7,13.4,24.3,19,0,F,1,0,0,0,0,2,2.4,81.9
2010-08-22T00:00:00Z,10129,234,19.6,16.4,NA,NA,13.2,3.8,5.1,NA,23.1,17,0,G,1,0,0,0,0,1.9,2.3,81.8
2010-08-23T00:00:00Z,12935,235,17.8,14.4,NA,NA,12.9,6.4,10.8,13.9,22,13,21.1,F,1,0,0,0,0,1.6,2,80.5
2010-08-24T00:00:00Z,17006,236,15.7,9.7,NA,NA,11.1,7.1,13.4,20.1,20.7,11.6,0.5,F,1,0,0,0,0,1.2,1.8,67.5
2010-08-25T00:00:00Z,10062,237,14,11.3,NA,NA,9.8,3.6,5.7,NA,18.2,11,7.9,F,1,0,0,0,0,1.3,1.6,83.8
2010-08-26T00:00:00Z,9875,238,17.6,16.1,NA,NA,8,3.5,7.2,NA,21.3,13.2,18.5,G,1,0,0,0,0,1.8,2,90.9
2010-08-27T00:00:00Z,12854,239,14.5,10.6,NA,NA,11.6,3.1,4.6,8.7,18.5,12,8.4,G,1,0,0,0,0,1.3,1.6,77.4
2010-08-28T00:00:00Z,10116,240,15.2,8.7,NA,NA,10.9,4.5,7.7,NA,20.6,9.9,1.5,G,1,0,0,0,0,1.1,1.7,65.2
2010-08-29T00:00:00Z,7811,241,14.7,8.1,NA,NA,14.2,5.9,10.3,13.9,19.6,11.9,0,G,1,0,0,0,0,1.1,1.7,64.6
2010-08-30T00:00:00Z,10534,242,13.8,7.2,NA,NA,13.4,3.4,5.7,10.3,19.5,9,2,G,0,0,0,0,0,1,1.6,64.4
2010-08-31T00:00:00Z,17508,243,14.9,7.9,NA,NA,10.6,1.8,3.1,NA,20.5,8.4,0,G,1,0,0,0,0,1.1,1.7,62.9
2010-09-01T00:00:00Z,19332,244,15.3,8.4,NA,NA,11.1,2.4,5.1,NA,21.3,9,0,G,0,0,0,0,0,1.1,1.7,63.4
2010-09-02T00:00:00Z,20909,245,15.5,9.9,NA,NA,11.4,3,5.7,NA,21.9,10,0,G,0,0,0,0,0,1.2,1.8,69.3
2010-09-03T00:00:00Z,20113,246,16.5,10.8,NA,NA,12.7,3.1,5.1,NA,22.5,11.9,0,G,0,0,0,0,0,1.3,1.9,69
2010-09-04T00:00:00Z,14373,247,16.1,11.2,NA,NA,11.1,3.2,5.7,NA,22,11,0,G,0,0,0,0,0,1.3,1.8,72.7
2010-09-05T00:00:00Z,12924,248,16.6,10,NA,NA,10.5,4.7,7.7,NA,21.8,13.2,0,F,1,0,0,0,0,1.2,1.9,65
2010-09-06T00:00:00Z,16841,249,16.5,10.1,NA,NA,11.6,5.8,9.8,12.3,21.8,13,0.3,G,1,0,0,0,0,1.2,1.9,65.9
2010-09-07T00:00:00Z,25361,250,15.9,12.7,NA,NA,11.9,3.2,5.1,NA,19.6,13,0,G,1,0,0,0,0,1.5,1.8,81.3
2010-09-08T00:00:00Z,18727,251,15.9,12.6,NA,NA,10.3,2.8,5.7,NA,20.6,13,1.5,G,0,0,0,0,0,1.5,1.8,80.8
2010-09-09T00:00:00Z,20774,252,16.2,12,NA,NA,13,3.9,6.2,NA,22.5,12,0,G,1,0,0,0,0,1.4,1.8,76.2
2010-09-10T00:00:00Z,19532,253,17.7,13.9,NA,NA,12.2,5.2,8.7,12.9,22.4,14,0.3,G,1,0,0,0,0,1.6,2,78.4
2010-09-11T00:00:00Z,13383,254,18.1,14.3,1015.6,12.6,13.7,5.4,7.7,10.3,22.5,13,0,G,1,0,0,0,0,1.6,2.1,78.5
2010-09-12T00:00:00Z,14002,255,15.1,9.7,NA,NA,11.1,3.3,5.7,NA,20.8,11,0.3,G,0,0,0,0,0,1.2,1.7,70.1
2010-09-13T00:00:00Z,18037,256,14.8,10.9,NA,NA,11.4,5,7.7,12.9,18.5,10,0,G,1,0,0,0,0,1.3,1.7,77.5
2010-09-14T00:00:00Z,17026,257,16.9,13.9,1018.5,15.5,13.5,7.4,9.8,NA,20.1,13,0.8,F,1,0,0,0,0,1.6,1.9,82.5
2010-09-15T00:00:00Z,20890,258,13.3,8.4,NA,NA,12.4,6.6,10.3,14.4,18,9,2.8,G,1,0,0,0,0,1.1,1.5,72.2
2010-09-16T00:00:00Z,20433,259,13.9,8.8,NA,NA,13.2,4.3,6.2,NA,18.1,9,0.3,G,1,0,0,0,0,1.1,1.6,71.3
2010-09-17T00:00:00Z,20488,260,11.3,5.6,NA,NA,11.1,3.5,6.2,NA,16.4,7,0,G,0,0,0,0,0,0.9,1.3,68
2010-09-18T00:00:00Z,15495,261,11.9,5.8,1019.5,16.5,13.8,3.3,6.2,NA,18,5,0,G,0,0,0,0,0,0.9,1.4,66.2
2010-09-19T00:00:00Z,11492,262,14.7,9.9,NA,NA,13.5,5.9,7.7,12.9,18.3,11,0,F,1,0,0,0,0,1.2,1.7,73
2010-09-20T00:00:00Z,20169,263,17.3,11.4,NA,NA,11.9,5.3,8.2,NA,22.8,12,0,F,1,0,0,0,0,1.3,2,68.3
2010-09-21T00:00:00Z,22906,264,15.7,11.1,NA,NA,11.6,2.1,4.6,9.8,21.9,9,0,G,0,0,0,0,0,1.3,1.8,74.1
2010-09-22T00:00:00Z,23905,265,16.7,11.6,NA,NA,10.5,3.4,6.7,10.3,24,10.3,0,G,0,0,0,0,0,1.4,1.9,71.9
2010-09-23T00:00:00Z,17729,266,15.2,13.3,NA,NA,8.7,3.7,6.2,NA,18.3,10,5.1,E,1,0,0,0,0,1.5,1.7,88.4
2010-09-24T00:00:00Z,18053,267,11.7,8.9,NA,NA,11.7,3.9,7.2,12.9,14.5,8,10.9,G,1,0,0,0,0,1.1,1.4,83
2010-09-25T00:00:00Z,14010,268,9.4,3.5,NA,NA,12.6,3.5,5.1,NA,14,5,2.3,G,0,0,0,0,0,0.8,1.2,66.6
2010-09-26T00:00:00Z,7890,269,10.4,6.9,NA,NA,12.1,4.4,6.2,9.8,14,7,0,G,1,0,0,0,0,1,1.3,78.9
2010-09-27T00:00:00Z,18789,270,13.3,11.6,NA,NA,8.2,2.1,3.6,NA,16,10.7,1.3,G,1,0,0,0,0,1.4,1.5,89.4
2010-09-28T00:00:00Z,21554,271,14.8,12.8,NA,NA,7.1,2.2,3.6,NA,17,13,0.5,G,1,0,0,0,0,1.5,1.7,87.8
2010-09-29T00:00:00Z,13899,272,14.4,12.5,NA,NA,10,4,7.7,12.3,17.3,10,0.3,G,1,0,0,0,0,1.4,1.6,88.4
2010-09-30T00:00:00Z,21823,273,12,9.3,NA,NA,8.5,3,4.6,NA,16.4,6,9.4,G,1,1,0,0,0,1.2,1.4,83.6
