salary,education,grade,years1,years2,age,region,coding_job
78200,Ed_1,job_grade_1,14,1,38,Region A,No
66400,Ed_1,job_grade_1,12,0,35,Region A,No
61200,Ed_2,job_grade_1,8,7,40,Region A,No
61000,Ed_3,job_grade_1,3,0,24,Region A,No
60000,Ed_3,job_grade_1,4,0,27,Region A,No
68000,Ed_1,job_grade_1,4,0,62,Region A,No
59000,Ed_3,job_grade_1,9,0,31,Region A,No
53600,Ed_3,job_grade_1,9,2,34,Region A,No
62600,Ed_2,job_grade_1,8,8,37,Region A,No
62400,Ed_2,job_grade_1,9,0,37,Region A,No
69400,Ed_2,job_grade_1,10,6,58,Region A,No
60000,Ed_3,job_grade_1,4,0,33,Region A,No
62000,Ed_3,job_grade_1,3,0,27,Region A,No
54000,Ed_3,job_grade_1,6,0,30,Region A,No
59200,Ed_2,job_grade_1,8,9,37,Region A,No
65200,Ed_3,job_grade_1,5,6,44,Region A,No
59200,Ed_2,job_grade_1,4,3,29,Region A,No
59000,Ed_3,job_grade_1,4,2,36,Region A,No
57000,Ed_1,job_grade_1,5,0,45,Region A,No
84400,Ed_2,job_grade_1,16,6,60,Region A,No
75200,Ed_1,job_grade_1,13,0,48,Region A,No
68000,Ed_1,job_grade_1,12,6,40,Region A,No
66000,Ed_2,job_grade_1,4,7,33,Region A,No
57520,Ed_1,job_grade_1,7,4,35,Region A,No
70800,Ed_1,job_grade_1,11,0,44,Region A,No
77600,Ed_2,job_grade_1,18,2,46,Region A,No
68600,Ed_2,job_grade_1,14,0,42,Region A,No
70000,Ed_1,job_grade_1,19,0,47,Region A,No
69200,Ed_3,job_grade_1,3,2,25,Region A,Yes
57000,Ed_2,job_grade_1,2,4,30,Region A,No
59000,Ed_1,job_grade_1,11,0,40,Region A,No
68400,Ed_3,job_grade_1,5,1,32,Region A,No
87200,Ed_1,job_grade_1,15,0,51,Region A,No
67000,Ed_5,job_grade_1,7,0,35,Region A,Yes
66000,Ed_3,job_grade_1,12,1,37,Region A,No
90600,Ed_1,job_grade_1,18,0,44,Region A,No
59800,Ed_1,job_grade_1,10,0,40,Region A,No
68000,Ed_1,job_grade_1,15,0,42,Region A,No
60900,Ed_2,job_grade_1,2,0,53,Region A,No
68000,Ed_1,job_grade_1,4,10,44,Region A,Yes
58200,Ed_2,job_grade_1,7,0,31,Region A,No
59300,Ed_1,job_grade_1,8,0,64,Region A,No
58400,Ed_3,job_grade_1,15,1,47,Region A,No
59600,Ed_3,job_grade_1,9,0,37,Region A,Yes
67000,Ed_2,job_grade_1,16,0,46,Region A,No
68000,Ed_1,job_grade_1,8,0,55,Region A,No
59200,Ed_1,job_grade_1,9,0,39,Region A,No
68000,Ed_3,job_grade_1,18,0,51,Region A,No
74500,Ed_2,job_grade_2,3,8,37,Region A,No
57200,Ed_3,job_grade_2,4,0,26,Region A,No
72000,Ed_5,job_grade_2,5,1,41,Region A,Yes
74600,Ed_3,job_grade_2,4,4,34,Region A,Yes
63000,Ed_1,job_grade_2,11,8,53,Region A,No
82800,Ed_3,job_grade_2,5,4,32,Region A,Yes
65480,Ed_1,job_grade_2,17,5,44,Region A,No
64000,Ed_1,job_grade_2,5,9,31,Region A,No
61600,Ed_1,job_grade_2,9,0,50,Region A,No
84000,Ed_5,job_grade_2,3,3,47,Region A,Yes
65000,Ed_2,job_grade_2,16,0,43,Region A,No
63400,Ed_2,job_grade_2,9,10,46,Region A,No
62400,Ed_2,job_grade_2,8,0,58,Region A,No
68000,Ed_5,job_grade_2,8,0,40,Region A,No
66000,Ed_3,job_grade_2,6,0,30,Region A,No
67800,Ed_5,job_grade_2,4,4,29,Region A,No
78000,Ed_1,job_grade_2,3,9,31,Region A,Yes
68000,Ed_1,job_grade_2,8,0,49,Region A,No
63800,Ed_2,job_grade_2,6,7,34,Region A,No
72800,Ed_5,job_grade_2,3,2,35,Region A,No
76400,Ed_1,job_grade_2,15,1,47,Region A,Yes
70600,Ed_1,job_grade_2,15,0,51,Region A,No
61000,Ed_3,job_grade_2,12,0,33,Region A,No
74600,Ed_5,job_grade_2,8,0,34,Region A,Yes
80400,Ed_4,job_grade_2,5,0,29,Region A,No
70000,Ed_1,job_grade_2,11,0,43,Region A,No
76000,Ed_3,job_grade_2,4,3,36,Region A,No
70600,Ed_1,job_grade_2,9,0,38,Region A,No
68200,Ed_2,job_grade_2,14,0,60,Region A,No
86400,Ed_3,job_grade_3,4,5,43,Region A,Yes
72200,Ed_2,job_grade_3,15,5,48,Region A,No
69200,Ed_5,job_grade_3,7,3,32,Region A,No
72400,Ed_5,job_grade_3,7,2,29,Region A,No
75000,Ed_3,job_grade_3,7,0,35,Region A,No
82000,Ed_3,job_grade_3,4,12,37,Region A,No
71200,Ed_2,job_grade_3,10,0,43,Region A,No
79600,Ed_3,job_grade_3,5,5,33,Region A,No
82600,Ed_4,job_grade_3,11,4,58,Region A,Yes
85000,Ed_3,job_grade_3,9,7,44,Region A,No
91600,Ed_3,job_grade_3,4,8,37,Region A,Yes
69800,Ed_5,job_grade_3,5,6,48,Region A,No
