Date/Time,Year,Month,snowfall
1843-01,1843,1,36.1
1843-02,1843,2,36.6
1843-03,1843,3,65.3
1843-04,1843,4,0.3
1843-05,1843,5,0
1843-06,1843,6,0
1843-07,1843,7,0
1843-08,1843,8,0
1843-09,1843,9,0
1843-10,1843,10,6.4
1843-11,1843,11,3
1843-12,1843,12,20.6
1844-01,1844,1,63.2
1844-02,1844,2,25.4
1844-03,1844,3,35.6
1844-04,1844,4,0
1844-05,1844,5,0
1844-06,1844,6,0
1844-07,1844,7,0
1844-08,1844,8,0
1844-09,1844,9,0
1844-10,1844,10,30.5
1844-11,1844,11,20.3
1844-12,1844,12,10.7
1845-01,1845,1,57.7
1845-02,1845,2,48.3
1845-03,1845,3,7.1
1845-04,1845,4,3.8
1845-05,1845,5,0
1845-06,1845,6,0
1845-07,1845,7,0
1845-08,1845,8,0
1845-09,1845,9,0
1845-10,1845,10,0
1845-11,1845,11,12.7
1845-12,1845,12,11.9
1846-01,1846,1,15.2
1846-02,1846,2,117.1
1846-03,1846,3,5.8
1846-04,1846,4,3.3
1846-05,1846,5,0
1846-06,1846,6,0
1846-07,1846,7,0
1846-08,1846,8,0
1846-09,1846,9,0
1846-10,1846,10,0
1846-11,1846,11,1
1846-12,1846,12,15.2
1847-01,1847,1,19.1
1847-02,1847,2,69.3
1847-03,1847,3,10.7
1847-04,1847,4,10.2
1847-05,1847,5,0
1847-06,1847,6,0
1847-07,1847,7,0
1847-08,1847,8,0
1847-09,1847,9,0
1847-10,1847,10,0
1847-11,1847,11,0
1847-12,1847,12,17.3
1848-01,1848,1,18
1848-02,1848,2,27.4
1848-03,1848,3,24.6
1848-04,1848,4,1.3
1848-05,1848,5,0
1848-06,1848,6,0
1848-07,1848,7,0
1848-08,1848,8,0
1848-09,1848,9,0
1848-10,1848,10,0
1848-11,1848,11,3.6
1848-12,1848,12,41.9
1849-01,1849,1,23.4
1849-02,1849,2,48.8
1849-03,1849,3,5.8
1849-04,1849,4,4.3
1849-05,1849,5,0
1849-06,1849,6,0
1849-07,1849,7,0
1849-08,1849,8,0
1849-09,1849,9,0
1849-10,1849,10,0
1849-11,1849,11,2.5
1849-12,1849,12,24.4
1850-01,1850,1,13.2
1850-02,1850,2,58.7
1850-03,1850,3,28.4
1850-04,1850,4,2.8
1850-05,1850,5,0
1850-06,1850,6,0
1850-07,1850,7,0
1850-08,1850,8,0
1850-09,1850,9,0
1850-10,1850,10,0
1850-11,1850,11,0
1850-12,1850,12,74.9
1851-01,1851,1,19.8
1851-02,1851,2,6.1
1851-03,1851,3,22.4
1851-04,1851,4,3
1851-05,1851,5,1.3
1851-06,1851,6,0
1851-07,1851,7,0
1851-08,1851,8,0
1851-09,1851,9,0
1851-10,1851,10,0.8
1851-11,1851,11,17
1851-12,1851,12,27.2
1852-01,1852,1,85.9
1852-02,1852,2,40.9
1852-03,1852,3,53.6
1852-04,1852,4,23.9
1852-05,1852,5,0
1852-06,1852,6,0
1852-07,1852,7,0
1852-08,1852,8,0
1852-09,1852,9,0
1852-10,1852,10,0
1852-11,1852,11,5.1
1852-12,1852,12,51.1
1853-01,1853,1,19.1
1853-02,1853,2,32
1853-03,1853,3,18
1853-04,1853,4,2.5
1853-05,1853,5,0
1853-06,1853,6,0
1853-07,1853,7,0
1853-08,1853,8,0
1853-09,1853,9,0
1853-10,1853,10,0
1853-11,1853,11,6.9
1853-12,1853,12,56.6
1854-01,1854,1,19.1
1854-02,1854,2,45.7
1854-03,1854,3,7.1
1854-04,1854,4,6.9
1854-05,1854,5,0
1854-06,1854,6,0
1854-07,1854,7,0
1854-08,1854,8,0
1854-09,1854,9,0
1854-10,1854,10,0
1854-11,1854,11,3.3
1854-12,1854,12,43.7
1855-01,1855,1,59.2
1855-02,1855,2,55.1
1855-03,1855,3,46
1855-04,1855,4,4.1
1855-05,1855,5,2.3
1855-06,1855,6,0
1855-07,1855,7,0
1855-08,1855,8,0
1855-09,1855,9,0
1855-10,1855,10,2
1855-11,1855,11,7.6
1855-12,1855,12,74.9
1856-01,1856,1,34.5
1856-02,1856,2,24.6
1856-03,1856,3,41.1
1856-04,1856,4,0.3
1856-05,1856,5,0
1856-06,1856,6,0
1856-07,1856,7,0
1856-08,1856,8,0
1856-09,1856,9,0
1856-10,1856,10,0.3
1856-11,1856,11,24.1
1856-12,1856,12,41.4
1857-01,1857,1,55.4
1857-02,1857,2,29.7
1857-03,1857,3,28.7
1857-04,1857,4,32.8
1857-05,1857,5,0
1857-06,1857,6,0
1857-07,1857,7,0
1857-08,1857,8,0
1857-09,1857,9,0
1857-10,1857,10,0.5
1857-11,1857,11,17.5
1857-12,1857,12,22.9
1858-01,1858,1,10.2
1858-02,1858,2,67.8
1858-03,1858,3,0.5
1858-04,1858,4,0.3
1858-05,1858,5,0
1858-06,1858,6,0
1858-07,1858,7,0
1858-08,1858,8,0
1858-09,1858,9,0
1858-10,1858,10,0
1858-11,1858,11,10.2
1858-12,1858,12,26.4
1859-01,1859,1,41.7
1859-02,1859,2,21.1
1859-03,1859,3,2.5
1859-04,1859,4,3
1859-05,1859,5,0
1859-06,1859,6,0
1859-07,1859,7,0
1859-08,1859,8,0
1859-09,1859,9,0
1859-10,1859,10,0
1859-11,1859,11,1.5
1859-12,1859,12,95
1860-01,1860,1,22.1
1860-02,1860,2,47.8
1860-03,1860,3,6.1
1860-04,1860,4,0.8
1860-05,1860,5,0
1860-06,1860,6,0
1860-07,1860,7,0
1860-08,1860,8,0
1860-09,1860,9,0
1860-10,1860,10,0
1860-11,1860,11,4.8
1860-12,1860,12,34.3
1861-01,1861,1,52.3
1861-02,1861,2,75.4
1861-03,1861,3,18
1861-04,1861,4,17.5
1861-05,1861,5,1.3
1861-06,1861,6,0
1861-07,1861,7,0
1861-08,1861,8,0
1861-09,1861,9,0
1861-10,1861,10,0
1861-11,1861,11,8.1
1861-12,1861,12,17.3
1862-01,1862,1,69.6
1862-02,1862,2,58.7
1862-03,1862,3,47
1862-04,1862,4,0.5
1862-05,1862,5,0
1862-06,1862,6,0
1862-07,1862,7,0
1862-08,1862,8,0
1862-09,1862,9,0
1862-10,1862,10,1.3
1862-11,1862,11,13.5
1862-12,1862,12,26.4
1863-01,1863,1,52.3
1863-02,1863,2,55.9
1863-03,1863,3,29
1863-04,1863,4,4.1
1863-05,1863,5,0.3
1863-06,1863,6,0
1863-07,1863,7,0
1863-08,1863,8,0
1863-09,1863,9,0
1863-10,1863,10,0
1863-11,1863,11,0.3
1863-12,1863,12,18
1864-01,1864,1,66.8
1864-02,1864,2,24.1
1864-03,1864,3,9.4
1864-04,1864,4,8.9
1864-05,1864,5,0
1864-06,1864,6,0
1864-07,1864,7,0
1864-08,1864,8,0
1864-09,1864,9,0
1864-10,1864,10,0
1864-11,1864,11,11.4
1864-12,1864,12,68.8
1865-01,1865,1,37.6
1865-02,1865,2,42.7
1865-03,1865,3,48
1865-04,1865,4,5.1
1865-05,1865,5,0
1865-06,1865,6,0
1865-07,1865,7,0
1865-08,1865,8,0
1865-09,1865,9,0
1865-10,1865,10,11.4
1865-11,1865,11,2.8
1865-12,1865,12,13.2
1866-01,1866,1,26.2
1866-02,1866,2,42.9
1866-03,1866,3,18.3
1866-04,1866,4,0
1866-05,1866,5,0
1866-06,1866,6,0
1866-07,1866,7,0
1866-08,1866,8,0
1866-09,1866,9,0
1866-10,1866,10,0
1866-11,1866,11,5.6
1866-12,1866,12,39.4
1867-01,1867,1,106.7
1867-02,1867,2,34
1867-03,1867,3,84.8
1867-04,1867,4,18.3
1867-05,1867,5,0
1867-06,1867,6,0
1867-07,1867,7,0
1867-08,1867,8,0
1867-09,1867,9,0
1867-10,1867,10,0
1867-11,1867,11,2.3
1867-12,1867,12,34.5
1868-01,1868,1,37.1
1868-02,1868,2,83.3
1868-03,1868,3,10.7
1868-04,1868,4,13.5
1868-05,1868,5,0
1868-06,1868,6,0
1868-07,1868,7,0
1868-08,1868,8,0
1868-09,1868,9,0
1868-10,1868,10,5.1
1868-11,1868,11,10.9
1868-12,1868,12,39.4
1869-01,1869,1,24.9
1869-02,1869,2,100.8
1869-03,1869,3,38.1
1869-04,1869,4,1.3
1869-05,1869,5,0
1869-06,1869,6,0
1869-07,1869,7,0
1869-08,1869,8,0
1869-09,1869,9,0
1869-10,1869,10,5.8
1869-11,1869,11,25.9
1869-12,1869,12,18
1870-01,1870,1,54.1
1870-02,1870,2,51.1
1870-03,1870,3,158.5
1870-04,1870,4,0.3
1870-05,1870,5,0
1870-06,1870,6,0
1870-07,1870,7,0
1870-08,1870,8,0
1870-09,1870,9,0
1870-10,1870,10,0
1870-11,1870,11,7.9
1870-12,1870,12,40.4
1871-01,1871,1,110.7
1871-02,1871,2,58.4
1871-03,1871,3,33
1871-04,1871,4,3.3
1871-05,1871,5,0
1871-06,1871,6,0
1871-07,1871,7,0
1871-08,1871,8,0
1871-09,1871,9,0
1871-10,1871,10,0
1871-11,1871,11,11.4
1871-12,1871,12,36.1
1872-01,1872,1,9.9
1872-02,1872,2,18.5
1872-03,1872,3,41.4
1872-04,1872,4,1.8
1872-05,1872,5,0
1872-06,1872,6,0
1872-07,1872,7,0
1872-08,1872,8,0
1872-09,1872,9,0
1872-10,1872,10,0
1872-11,1872,11,3.3
1872-12,1872,12,96.5
1873-01,1873,1,99.6
1873-02,1873,2,26.4
1873-03,1873,3,64
1873-04,1873,4,0
1873-05,1873,5,0
1873-06,1873,6,0
1873-07,1873,7,0
1873-08,1873,8,0
1873-09,1873,9,0
1873-10,1873,10,0.5
1873-11,1873,11,49.8
1873-12,1873,12,48.8
1874-01,1874,1,31
1874-02,1874,2,48.5
1874-03,1874,3,6.6
1874-04,1874,4,27.9
1874-05,1874,5,0
1874-06,1874,6,0
1874-07,1874,7,0
1874-08,1874,8,0
1874-09,1874,9,0
1874-10,1874,10,0
1874-11,1874,11,29.7
1874-12,1874,12,28.2
1875-01,1875,1,82
1875-02,1875,2,23.1
1875-03,1875,3,76.2
1875-04,1875,4,6.9
1875-05,1875,5,7.9
1875-06,1875,6,0
1875-07,1875,7,0
1875-08,1875,8,0
1875-09,1875,9,0
1875-10,1875,10,9.7
1875-11,1875,11,19.8
1875-12,1875,12,47.5
1876-01,1876,1,8.1
1876-02,1876,2,51.1
1876-03,1876,3,112
1876-04,1876,4,0.8
1876-05,1876,5,0
1876-06,1876,6,0
1876-07,1876,7,0
