date,fips,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12plus_pop_pct,series_complete_18plus,series_complete_18plus_pop_pct,series_complete_65plus,series_complete_65plus_pop_pct,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12plus_pop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18plus_pop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65plus_pop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12plus_pop_pct_svi,series_complete_18plus_pop_pct_svi,series_complete_65plus_pop_pct_svi
07/04/2021,49055,27,Wayne County,UT,36.6,992,991,43.1,979,47.5,383,64.2,96.6,1140,42.1,1139,49.5,1126,54.6,454,76,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
07/04/2021,26027,27,Cass County,MI,33.1,17145,17145,38.1,16707,40.6,6780,60.8,94.1,18375,35.5,18375,40.8,18045,43.9,7249,65,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
07/04/2021,28155,27,Webster County,MS,31.5,3050,3050,37,3025,40.8,1408,81,98.3,3146,32.5,3146,38.2,3119,42.1,1438,82.7,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,26033,27,Chippewa County,MI,58.2,21738,21736,65.8,20822,67.8,6327,90.3,94.1,23219,62.2,23215,70.3,22336,72.7,6574,93.9,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,48027,27,Bell County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,High,NA,NA,NA,NA
07/04/2021,22107,27,Tensas Parish,LA,38.3,1661,1661,44.9,1657,49.3,778,69.8,95.9,1876,43.3,1875,50.7,1860,55.3,848,76.1,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
07/04/2021,27157,27,Wabasha County,MN,57.2,12367,12347,66.5,11777,69.5,4655,95.4,95,13759,63.6,13726,74,13083,77.2,5338,99.9,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,37159,27,Rowan County,NC,30,42695,42671,35,41665,37.6,16792,66.2,96.3,49056,34.5,49008,40.2,47587,43,18100,71.3,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,30069,27,Petroleum County,MT,25.7,125,125,28.9,125,30.9,75,60,95.5,130,26.7,130,30,130,32.1,76,60.8,Low,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,53019,27,Ferry County,WA,43.3,3306,3306,48.6,3232,50.7,1421,66,96.1,3682,48.3,3682,54.1,3567,56,1507,70,High,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI,Mod-High VC/High SVI
07/04/2021,37143,27,Perquimans County,NC,18.8,2533,2533,21.4,2503,22.8,1347,36.7,96.3,4283,31.8,4283,36.1,4246,38.8,2389,65.1,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
07/04/2021,40119,27,Payne County,OK,35,28608,28607,40,27643,41.7,7889,74.1,93.5,33362,40.8,33360,46.6,32033,48.3,8981,84.3,Mod-High,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,26047,27,Emmet County,MI,60.7,20272,20270,68.7,19407,71.5,6720,86.2,94.1,20771,62.2,NA,0,NA,0,NA,0,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,13287,27,Turner County,GA,10.8,865,865,12.9,848,14.1,362,22.7,53.2,995,12.5,995,14.9,957,15.9,392,24.6,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
07/04/2021,39173,27,Wood County,OH,50.1,65588,65587,57.7,62540,60,18028,87.8,97.6,66909,51.1,66907,58.9,63409,60.8,18349,89.4,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,54097,27,Upshur County,WV,6.7,1625,1625,7.7,1494,7.8,667,13.2,57,2164,9,2164,10.3,1968,10.2,783,15.4,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
07/04/2021,39037,27,Darke County,OH,30.3,15477,15477,35.8,15191,38.9,7173,70.4,97.6,15836,31,15836,36.6,15500,39.7,7220,70.9,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,High VC/Low SVI
07/04/2021,50025,27,Windham County,VT,53.6,22610,22610,60.4,21653,62.3,7683,76.2,73.8,26265,62.2,26262,70.1,24845,71.5,8574,85,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,39107,27,Mercer County,OH,30.7,12628,12628,37.1,12444,40.8,5614,74.9,97.6,12838,31.2,12836,37.7,12610,41.3,5677,75.7,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
07/04/2021,35047,27,San Miguel County,NM,36,9810,9810,40.5,9243,41,3002,48.7,82.1,NA,0,NA,0,NA,0,NA,0,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Low-Mod VC/High SVI
07/04/2021,40151,27,Woods County,OK,29.4,2581,2581,34.3,2550,36.5,1111,72.6,93.5,2961,33.7,2961,39.3,2898,41.4,1210,79.1,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,37063,27,Durham County,NC,52,167259,166900,60.5,159471,62.3,36152,82.6,96.3,189766,59,189234,68.6,179962,70.3,38127,87.1,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
07/04/2021,56001,27,Albany County,WY,41.8,16235,16235,46.9,15689,48.1,3746,78.8,96.1,18272,47,18272,52.8,17535,53.7,4002,84.2,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
07/04/2021,18029,27,Dearborn County,IN,39.9,19758,19757,46.2,19265,49.9,7717,85.1,98.6,20877,42.2,20874,48.8,20248,52.4,7858,86.7,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
07/04/2021,29153,27,Ozark County,MO,19.4,1777,1777,22,1768,23.8,973,36.3,90.6,2161,23.6,2161,26.7,2146,28.9,1192,44.4,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
07/04/2021,31089,27,Holt County,NE,32,3223,3223,38.6,3143,41.8,1340,60.5,88.8,NA,0,NA,0,NA,0,NA,0,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,30027,27,Fergus County,MT,35.9,3968,3968,41.5,3913,44.6,1979,71.1,95.5,4297,38.9,4297,44.9,4214,48,2088,75,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
07/04/2021,49015,27,Emery County,UT,26.4,2639,2639,32,2585,36.1,920,52,96.6,3396,33.9,3393,41.1,3303,46.1,1322,74.8,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
07/04/2021,48183,27,Gregg County,TX,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,High,NA,NA,NA,NA
07/04/2021,01133,27,Winston County,AL,14.2,3352,3352,16.3,3337,17.7,1662,32.2,91.8,4106,17.4,4106,20,4081,21.6,2012,38.9,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
07/04/2021,56019,27,Johnson County,WY,32.1,2707,2707,37.1,2679,40.5,1358,65.4,96.1,2976,35.2,2976,40.8,2915,44,1434,69,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,28119,27,Quitman County,MS,30.6,2080,2080,36.1,2057,39.2,767,62.3,98.3,2194,32.3,2194,38,2157,41.1,802,65.2,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
07/04/2021,47119,27,Maury County,TN,44.5,42900,42895,52.8,41515,56.1,13599,86.4,97.8,47290,49.1,47283,58.2,45549,61.6,14566,92.5,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,37157,27,Rockingham County,NC,34.8,31712,31692,40,30963,42.6,12908,68,96.3,36291,39.9,36257,45.8,35275,48.5,13908,73.2,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
07/04/2021,55105,27,Rock County,WI,52.9,86494,86491,62.1,83135,66,28120,99.9,97.1,94366,57.8,94356,67.8,89920,71.4,29406,99.9,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,55015,27,Calumet County,WI,43.4,21715,21715,50.6,20791,54.1,6575,83.6,97.1,22988,45.9,22987,53.6,21842,56.8,6747,85.8,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,13295,27,Walker County,GA,15.5,10824,10824,18,10593,19.3,3734,28.3,53.2,12475,17.9,12471,20.8,12110,22.1,4278,32.4,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
07/04/2021,02275,27,Wrangell City and Borough,AK,48.4,1212,1210,55.7,1171,58.3,397,64.7,96.9,1233,49.3,1230,56.6,1186,59,399,65,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,Mod-High VC/Mod-High SVI
07/04/2021,72089,27,Luquillo Municipio,PR,42.6,7523,7523,47.7,7149,49.3,2275,75.8,96,8838,50,8837,56.1,8340,57.5,2588,86.2,Low-Mod,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,46107,27,Potter County,SD,40.4,870,870,46.6,859,50.6,437,69.6,83,NA,0,NA,0,NA,0,NA,0,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,Mod-High VC/Low SVI
07/04/2021,17147,27,Piatt County,IL,41.5,6779,6766,48.2,6440,50.6,2477,76.5,97.6,7915,48.4,7893,56.2,7450,58.5,2707,83.5,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
07/04/2021,20013,27,Brown County,KS,43.6,4174,4174,52.6,4023,56.3,1637,82.6,93.2,4541,47.5,4541,57.3,4304,60.2,1718,86.6,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
07/04/2021,13021,27,Bibb County,GA,16.2,24773,24771,19.3,23945,20.6,8149,33.3,53.2,30416,19.9,30412,23.7,29108,25.1,10353,42.2,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
