Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.35,-0.51,-0.23,-0.3,-0.06,-0.16,-0.18,-0.26,-0.23,-0.32,-0.43,-0.4,-0.28,NA,NA,-0.19,-0.2,-0.33
1881,-0.3,-0.21,-0.03,0.01,0.04,-0.32,0.08,-0.04,-0.26,-0.43,-0.36,-0.22,-0.17,-0.19,-0.3,0.01,-0.09,-0.35
1882,0.26,0.21,0.02,-0.32,-0.24,-0.3,-0.28,-0.15,-0.24,-0.53,-0.33,-0.69,-0.21,-0.18,0.08,-0.18,-0.24,-0.37
1883,-0.58,-0.66,-0.16,-0.3,-0.25,-0.11,-0.05,-0.22,-0.34,-0.16,-0.44,-0.15,-0.28,-0.33,-0.64,-0.24,-0.13,-0.31
1884,-0.16,-0.11,-0.64,-0.59,-0.36,-0.41,-0.44,-0.51,-0.44,-0.44,-0.57,-0.47,-0.43,-0.4,-0.14,-0.53,-0.45,-0.49
1885,-1.01,-0.45,-0.23,-0.48,-0.59,-0.44,-0.34,-0.41,-0.4,-0.37,-0.38,-0.11,-0.43,-0.46,-0.64,-0.43,-0.4,-0.38
1886,-0.74,-0.83,-0.72,-0.37,-0.34,-0.37,-0.14,-0.43,-0.33,-0.31,-0.39,-0.22,-0.43,-0.42,-0.56,-0.47,-0.32,-0.35
1887,-1.08,-0.7,-0.44,-0.38,-0.25,-0.2,-0.24,-0.54,-0.21,-0.49,-0.27,-0.43,-0.44,-0.42,-0.67,-0.36,-0.33,-0.32
1888,-0.48,-0.61,-0.64,-0.22,-0.15,-0.03,-0.01,-0.21,-0.2,-0.04,-0.01,-0.24,-0.24,-0.25,-0.51,-0.34,-0.08,-0.08
1889,-0.28,0.29,-0.02,0.16,-0.03,-0.07,-0.09,-0.21,-0.31,-0.42,-0.62,-0.55,-0.18,-0.15,-0.08,0.04,-0.12,-0.45
1890,-0.63,-0.57,-0.47,-0.25,-0.36,-0.16,-0.24,-0.39,-0.35,-0.1,-0.63,-0.47,-0.39,-0.39,-0.58,-0.36,-0.26,-0.36
1891,-0.47,-0.69,-0.17,-0.36,-0.16,-0.13,-0.12,-0.13,-0.08,-0.28,-0.53,-0.04,-0.26,-0.3,-0.54,-0.23,-0.13,-0.3
1892,-0.5,-0.16,-0.68,-0.45,-0.24,-0.06,-0.38,-0.33,-0.2,-0.28,-0.83,-0.66,-0.4,-0.35,-0.23,-0.46,-0.26,-0.44
1893,-1.52,-0.97,-0.33,-0.3,-0.43,-0.19,-0.14,-0.33,-0.29,-0.28,-0.34,-0.6,-0.48,-0.48,-1.05,-0.35,-0.22,-0.3
1894,-0.92,-0.42,-0.22,-0.54,-0.26,-0.41,-0.21,-0.27,-0.33,-0.28,-0.48,-0.36,-0.39,-0.41,-0.65,-0.34,-0.3,-0.36
1895,-0.7,-0.81,-0.5,-0.19,-0.3,-0.21,-0.19,-0.27,-0.06,-0.1,-0.13,-0.23,-0.31,-0.32,-0.62,-0.33,-0.22,-0.1
1896,-0.36,-0.19,-0.51,-0.61,-0.17,0.07,-0.01,-0.12,-0.13,0.04,-0.21,-0.22,-0.2,-0.2,-0.26,-0.43,-0.02,-0.1
1897,-0.41,-0.42,-0.41,-0.06,0.13,-0.07,0.03,-0.07,-0.07,-0.15,-0.28,-0.28,-0.17,-0.17,-0.35,-0.11,-0.03,-0.17
1898,0.06,-0.45,-0.8,-0.27,-0.27,-0.08,-0.11,-0.17,-0.17,-0.37,-0.51,-0.27,-0.28,-0.28,-0.22,-0.45,-0.12,-0.35
1899,-0.12,-0.65,-0.59,-0.23,-0.25,-0.35,-0.17,-0.07,-0.05,0.04,0.36,-0.47,-0.21,-0.2,-0.35,-0.36,-0.2,0.11
1900,-0.61,-0.14,0.05,-0.1,-0.04,-0.1,-0.12,-0.09,-0.03,0.23,-0.12,-0.03,-0.09,-0.13,-0.41,-0.03,-0.1,0.03
1901,-0.33,-0.1,0.27,0.11,-0.12,0.01,0.01,-0.16,-0.28,-0.33,-0.23,-0.42,-0.13,-0.1,-0.15,0.09,-0.05,-0.28
1902,-0.18,0.01,-0.39,-0.39,-0.4,-0.37,-0.33,-0.29,-0.34,-0.3,-0.46,-0.6,-0.34,-0.32,-0.2,-0.39,-0.33,-0.36
1903,-0.22,0.11,-0.15,-0.46,-0.43,-0.45,-0.44,-0.56,-0.5,-0.5,-0.43,-0.57,-0.38,-0.39,-0.24,-0.35,-0.48,-0.48
1904,-0.78,-0.6,-0.41,-0.5,-0.44,-0.48,-0.59,-0.54,-0.64,-0.39,-0.09,-0.35,-0.48,-0.5,-0.65,-0.45,-0.54,-0.37
1905,-0.42,-0.83,-0.24,-0.46,-0.29,-0.28,-0.22,-0.24,-0.2,-0.28,0.08,-0.18,-0.29,-0.31,-0.53,-0.33,-0.25,-0.13
1906,-0.57,-0.54,-0.22,0.03,-0.25,-0.12,-0.27,-0.18,-0.25,-0.19,-0.41,0.01,-0.25,-0.26,-0.43,-0.15,-0.19,-0.28
1907,-0.59,-0.74,-0.32,-0.46,-0.59,-0.52,-0.41,-0.39,-0.41,-0.2,-0.56,-0.58,-0.48,-0.43,-0.44,-0.46,-0.44,-0.39
1908,-0.56,-0.29,-0.71,-0.49,-0.3,-0.32,-0.37,-0.58,-0.32,-0.45,-0.64,-0.57,-0.47,-0.47,-0.48,-0.5,-0.42,-0.47
1909,-0.94,-0.46,-0.68,-0.66,-0.5,-0.52,-0.45,-0.36,-0.38,-0.34,-0.13,-0.59,-0.5,-0.5,-0.66,-0.61,-0.45,-0.28
1910,-0.35,-0.38,-0.5,-0.42,-0.31,-0.46,-0.39,-0.41,-0.44,-0.32,-0.59,-0.82,-0.45,-0.43,-0.44,-0.41,-0.42,-0.45
1911,-0.72,-0.59,-0.65,-0.46,-0.46,-0.35,-0.37,-0.45,-0.39,-0.2,-0.21,-0.31,-0.43,-0.47,-0.71,-0.52,-0.39,-0.27
1912,-0.35,-0.17,-0.61,-0.16,-0.12,-0.14,-0.52,-0.78,-0.81,-0.85,-0.51,-0.57,-0.47,-0.44,-0.28,-0.3,-0.48,-0.72
1913,-0.56,-0.65,-0.48,-0.51,-0.55,-0.5,-0.52,-0.47,-0.43,-0.4,-0.15,0.1,-0.43,-0.48,-0.59,-0.51,-0.49,-0.33
1914,0.16,-0.11,-0.36,-0.39,-0.2,-0.24,-0.35,-0.29,-0.31,-0.02,-0.23,-0.06,-0.2,-0.19,0.05,-0.32,-0.29,-0.19
1915,-0.27,-0.1,-0.25,0.07,-0.03,-0.13,-0.11,-0.16,-0.23,-0.28,-0.04,-0.28,-0.15,-0.13,-0.15,-0.07,-0.14,-0.18
1916,-0.1,-0.17,-0.4,-0.35,-0.37,-0.52,-0.35,-0.39,-0.5,-0.36,-0.48,-1.15,-0.43,-0.36,-0.18,-0.37,-0.42,-0.45
