date,series_id,value,maturity,duration
1960-01-01,TB3MS,4.35,3m,3-Month Treasury Bill
1960-02-01,TB3MS,3.96,3m,3-Month Treasury Bill
1960-03-01,TB3MS,3.31,3m,3-Month Treasury Bill
1960-04-01,TB3MS,3.23,3m,3-Month Treasury Bill
1960-05-01,TB3MS,3.29,3m,3-Month Treasury Bill
1960-06-01,TB3MS,2.46,3m,3-Month Treasury Bill
1960-07-01,TB3MS,2.3,3m,3-Month Treasury Bill
1960-08-01,TB3MS,2.3,3m,3-Month Treasury Bill
1960-09-01,TB3MS,2.48,3m,3-Month Treasury Bill
1960-10-01,TB3MS,2.3,3m,3-Month Treasury Bill
1960-11-01,TB3MS,2.37,3m,3-Month Treasury Bill
1960-12-01,TB3MS,2.25,3m,3-Month Treasury Bill
1961-01-01,TB3MS,2.24,3m,3-Month Treasury Bill
1961-02-01,TB3MS,2.42,3m,3-Month Treasury Bill
1961-03-01,TB3MS,2.39,3m,3-Month Treasury Bill
1961-04-01,TB3MS,2.29,3m,3-Month Treasury Bill
1961-05-01,TB3MS,2.29,3m,3-Month Treasury Bill
1961-06-01,TB3MS,2.33,3m,3-Month Treasury Bill
1961-07-01,TB3MS,2.24,3m,3-Month Treasury Bill
1961-08-01,TB3MS,2.39,3m,3-Month Treasury Bill
1961-09-01,TB3MS,2.28,3m,3-Month Treasury Bill
1961-10-01,TB3MS,2.3,3m,3-Month Treasury Bill
1961-11-01,TB3MS,2.48,3m,3-Month Treasury Bill
1961-12-01,TB3MS,2.6,3m,3-Month Treasury Bill
1962-01-01,TB3MS,2.72,3m,3-Month Treasury Bill
1962-02-01,TB3MS,2.73,3m,3-Month Treasury Bill
1962-03-01,TB3MS,2.72,3m,3-Month Treasury Bill
1962-04-01,TB3MS,2.73,3m,3-Month Treasury Bill
1962-05-01,TB3MS,2.69,3m,3-Month Treasury Bill
1962-06-01,TB3MS,2.73,3m,3-Month Treasury Bill
1962-07-01,TB3MS,2.92,3m,3-Month Treasury Bill
1962-08-01,TB3MS,2.82,3m,3-Month Treasury Bill
1962-09-01,TB3MS,2.78,3m,3-Month Treasury Bill
1962-10-01,TB3MS,2.74,3m,3-Month Treasury Bill
1962-11-01,TB3MS,2.83,3m,3-Month Treasury Bill
1962-12-01,TB3MS,2.87,3m,3-Month Treasury Bill
1963-01-01,TB3MS,2.91,3m,3-Month Treasury Bill
1963-02-01,TB3MS,2.92,3m,3-Month Treasury Bill
1963-03-01,TB3MS,2.89,3m,3-Month Treasury Bill
1963-04-01,TB3MS,2.9,3m,3-Month Treasury Bill
1963-05-01,TB3MS,2.93,3m,3-Month Treasury Bill
1963-06-01,TB3MS,2.99,3m,3-Month Treasury Bill
1963-07-01,TB3MS,3.18,3m,3-Month Treasury Bill
1963-08-01,TB3MS,3.32,3m,3-Month Treasury Bill
1963-09-01,TB3MS,3.38,3m,3-Month Treasury Bill
1963-10-01,TB3MS,3.45,3m,3-Month Treasury Bill
1963-11-01,TB3MS,3.52,3m,3-Month Treasury Bill
1963-12-01,TB3MS,3.52,3m,3-Month Treasury Bill
1964-01-01,TB3MS,3.52,3m,3-Month Treasury Bill
1964-02-01,TB3MS,3.53,3m,3-Month Treasury Bill
1964-03-01,TB3MS,3.54,3m,3-Month Treasury Bill
1964-04-01,TB3MS,3.47,3m,3-Month Treasury Bill
1964-05-01,TB3MS,3.48,3m,3-Month Treasury Bill
1964-06-01,TB3MS,3.48,3m,3-Month Treasury Bill
1964-07-01,TB3MS,3.46,3m,3-Month Treasury Bill
1964-08-01,TB3MS,3.5,3m,3-Month Treasury Bill
1964-09-01,TB3MS,3.53,3m,3-Month Treasury Bill
1964-10-01,TB3MS,3.57,3m,3-Month Treasury Bill
1964-11-01,TB3MS,3.64,3m,3-Month Treasury Bill
1964-12-01,TB3MS,3.84,3m,3-Month Treasury Bill
1965-01-01,TB3MS,3.81,3m,3-Month Treasury Bill
1965-02-01,TB3MS,3.93,3m,3-Month Treasury Bill
1965-03-01,TB3MS,3.93,3m,3-Month Treasury Bill
1965-04-01,TB3MS,3.93,3m,3-Month Treasury Bill
1965-05-01,TB3MS,3.89,3m,3-Month Treasury Bill
1965-06-01,TB3MS,3.8,3m,3-Month Treasury Bill
1965-07-01,TB3MS,3.84,3m,3-Month Treasury Bill
1965-08-01,TB3MS,3.84,3m,3-Month Treasury Bill
1965-09-01,TB3MS,3.92,3m,3-Month Treasury Bill
1965-10-01,TB3MS,4.03,3m,3-Month Treasury Bill
1965-11-01,TB3MS,4.09,3m,3-Month Treasury Bill
1965-12-01,TB3MS,4.38,3m,3-Month Treasury Bill
1966-01-01,TB3MS,4.59,3m,3-Month Treasury Bill
1966-02-01,TB3MS,4.65,3m,3-Month Treasury Bill
1966-03-01,TB3MS,4.59,3m,3-Month Treasury Bill
1966-04-01,TB3MS,4.62,3m,3-Month Treasury Bill
1966-05-01,TB3MS,4.64,3m,3-Month Treasury Bill
1966-06-01,TB3MS,4.5,3m,3-Month Treasury Bill
1966-07-01,TB3MS,4.8,3m,3-Month Treasury Bill
1966-08-01,TB3MS,4.96,3m,3-Month Treasury Bill
1966-09-01,TB3MS,5.37,3m,3-Month Treasury Bill
1966-10-01,TB3MS,5.35,3m,3-Month Treasury Bill
1966-11-01,TB3MS,5.32,3m,3-Month Treasury Bill
1966-12-01,TB3MS,4.96,3m,3-Month Treasury Bill
1967-01-01,TB3MS,4.72,3m,3-Month Treasury Bill
1967-02-01,TB3MS,4.56,3m,3-Month Treasury Bill
1967-03-01,TB3MS,4.26,3m,3-Month Treasury Bill
1967-04-01,TB3MS,3.84,3m,3-Month Treasury Bill
1967-05-01,TB3MS,3.6,3m,3-Month Treasury Bill
1967-06-01,TB3MS,3.54,3m,3-Month Treasury Bill
1967-07-01,TB3MS,4.21,3m,3-Month Treasury Bill
1967-08-01,TB3MS,4.27,3m,3-Month Treasury Bill
1967-09-01,TB3MS,4.42,3m,3-Month Treasury Bill
