earn,height,age,ed_level,race,hispanic,gender
1400,157.48,64,Elementary,white,1,Female
2000,152.4,67,Elementary,white,1,Female
12000,180.34,40,Elementary,white,1,Male
2400,170.18,39,Elementary,white,1,Female
8000,162.56,27,Elementary,white,1,Male
6000,165.1,74,High School,white,1,Female
0,152.4,39,High School,white,1,Female
0,160.02,23,High School,white,1,Female
0,152.4,48,High School,white,1,Female
6000,162.56,36,High School,white,1,Male
0,172.72,18,High School,white,1,Male
0,167.64,49,High School,white,1,Female
24000,165.1,27,High School,white,1,Female
15000,162.56,21,High School,white,1,Female
15000,172.72,68,High School,white,1,Female
0,162.56,65,High School,white,1,Female
6000,160.02,65,High School,white,1,Female
0,157.48,63,High School,white,1,Female
18000,157.48,63,High School,white,1,Male
12000,152.4,51,High School,white,1,Female
16000,160.02,46,High School,white,1,Female
0,149.86,46,High School,white,1,Female
5000,162.56,39,High School,white,1,Female
4000,154.94,38,High School,white,1,Female
13000,160.02,35,High School,white,1,Female
22000,167.64,33,High School,white,1,Female
30000,172.72,32,High School,white,1,Male
12000,152.4,28,High School,white,1,Female
20000,182.88,28,High School,white,1,Male
17000,162.56,27,High School,white,1,Female
10000,154.94,22,High School,white,1,Female
12000,170.18,22,High School,white,1,Male
11000,152.4,21,High School,white,1,Female
1500,167.64,21,High School,white,1,Female
13000,154.94,19,High School,white,1,Female
50000,182.88,64,College,white,1,Male
18000,157.48,56,College,white,1,Female
28000,180.34,38,College,white,1,Male
17000,180.34,36,College,white,1,Male
41000,182.88,32,College,white,1,Male
0,157.48,32,College,white,1,Female
9000,162.56,22,College,white,1,Female
10000,182.88,20,College,white,1,Male
35000,162.56,53,College,white,1,Female
42000,177.8,44,College,white,1,Male
17000,167.64,43,College,white,1,Female
26000,167.64,32,College,white,1,Female
29000,175.26,29,College,white,1,Male
16000,157.48,28,College,white,1,Male
6600,152.4,28,College,white,1,Female
22000,180.34,28,College,white,1,Male
8000,185.42,21,College,white,1,Male
3000,182.88,18,College,white,1,Male
21000,182.88,62,College,white,1,Male
0,157.48,59,College,white,1,Female
19000,160.02,45,College,white,1,Female
